doc_id,gold,raw_text,pure_found_rating_token,pure_rating_gen_step,pure_rating_probs_json,pure_first_probs_json,digit_plus_found_rating_token,digit_plus_rating_gen_step,digit_plus_rating_probs_json,digit_plus_first_probs_json,digit_word_found_rating_token,digit_word_rating_gen_step,digit_word_rating_probs_json,digit_word_first_probs_json
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,1.0,"After reading the news article and the summary, I will evaluate the consistency of the summary.

The summary states that Paul Merson was brought on with only seven minutes remaining in his team's 0-0 draw with Burnley, which is consistent with the article. However, the summary also states that Andros Townsend scored the Tottenham midfielder in the 89th minute, which is incorrect. The article does not mention Townsend scoring a goal against Burnley.

Additionally, the summary does not mention the context of Merson's previous criticism of Townsend, which is an important detail in understanding the situation.

Based on the Evaluation Criteria, I would rate",0,,{},"{""1"": 0.9145321249961853, ""2"": 0.012643745169043541, ""3"": 0.003978530876338482, ""4"": 0.06223469227552414, ""5"": 0.006610935088247061}",0,,{},"{""1"": 0.9145321249961853, ""2"": 0.012643745169043541, ""3"": 0.003978530876338482, ""4"": 0.06223469227552414, ""5"": 0.006610935088247061}",0,,{},"{""1"": 0.9138602018356323, ""2"": 0.012974866665899754, ""3"": 0.004081173799932003, ""4"": 0.062417007982730865, ""5"": 0.006666759494692087}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 for consistency. The summary accurately reports the main facts from the article, including Paul Merson's criticism of Andros Townsend and Townsend's response. However, the summary does not mention Merson's initial criticism of Townsend's call-up to the England squad, which is an important detail that provides context to their ongoing feud. Additionally, the summary does not mention Merson's apology and admission of being wrong after Townsend scored for England against Italy, which is an important aspect of their reconciliation. Overall, the summary is mostly factually accurate, but omits",1,13,"{""1"": 5.010720087739173e-06, ""2"": 8.214242552639917e-05, ""3"": 0.007055619265884161, ""4"": 0.7196927070617676, ""5"": 0.2731645405292511}","{""1"": 0.7942118048667908, ""2"": 0.023427549749612808, ""3"": 0.009766056202352047, ""4"": 0.1613539159297943, ""5"": 0.011240661144256592}",1,13,"{""1"": 5.010720087739173e-06, ""2"": 8.214242552639917e-05, ""3"": 0.007055619265884161, ""4"": 0.7196927070617676, ""5"": 0.2731645405292511}","{""1"": 0.7942118048667908, ""2"": 0.023427549749612808, ""3"": 0.009766056202352047, ""4"": 0.1613539159297943, ""5"": 0.011240661144256592}",1,13,"{""1"": 5.010720087739173e-06, ""2"": 8.214242552639917e-05, ""3"": 0.007055619265884161, ""4"": 0.7196927070617676, ""5"": 0.2731645405292511}","{""1"": 0.7935229539871216, ""2"": 0.023790812119841576, ""3"": 0.009901306591928005, ""4"": 0.16148971021175385, ""5"": 0.011295273900032043}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 for consistency. The summary accurately reports the main facts from the article, including Paul Merson's criticism of Andros Townsend and Townsend's response on Twitter. The summary also mentions the context of their previous disagreement and the game in which Townsend scored for England.

The only minor inconsistency is that the summary does not mention Merson's initial criticism of Townsend's inclusion in the England squad, which is mentioned in the article. However, this is a minor point and does not significantly affect the overall accuracy of the summary. Overall, the summary is factually consistent",1,13,"{""1"": 2.555054607000784e-06, ""2"": 4.600263127940707e-05, ""3"": 0.006934911943972111, ""4"": 0.8400348424911499, ""5"": 0.1529817134141922}","{""1"": 0.878292441368103, ""2"": 0.015837088227272034, ""3"": 0.005780800245702267, ""4"": 0.09113616496324539, ""5"": 0.008953478187322617}",1,13,"{""1"": 2.555054607000784e-06, ""2"": 4.600263127940707e-05, ""3"": 0.006934911943972111, ""4"": 0.8400348424911499, ""5"": 0.1529817134141922}","{""1"": 0.878292441368103, ""2"": 0.015837088227272034, ""3"": 0.005780800245702267, ""4"": 0.09113616496324539, ""5"": 0.008953478187322617}",1,13,"{""1"": 2.555054607000784e-06, ""2"": 4.600263127940707e-05, ""3"": 0.006934911943972111, ""4"": 0.8400348424911499, ""5"": 0.1529817134141922}","{""1"": 0.8777529001235962, ""2"": 0.01611495018005371, ""3"": 0.005871765781193972, ""4"": 0.09126119315624237, ""5"": 0.008999248966574669}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 for consistency. The summary accurately reports the main facts from the article, including Paul Merson restarting his row with Andros Townsend and Townsend being brought on with only seven minutes remaining in Tottenham's 0-0 draw with Burnley. The summary does not contain any factual errors that are not supported by the article.

However, the summary does not mention the context of the row between Merson and Townsend, including Merson's initial criticism of Townsend's inclusion in the England squad and Townsend's response on Twitter. This lack of context may make the summary",1,13,"{""1"": 0.0001556715287733823, ""2"": 0.002473459579050541, ""3"": 0.04183540120720863, ""4"": 0.7650895714759827, ""5"": 0.19044585525989532}","{""1"": 0.8774693012237549, ""2"": 0.019845543429255486, ""3"": 0.006442904472351074, ""4"": 0.0889415517449379, ""5"": 0.007300767581909895}",1,13,"{""1"": 0.0001556715287733823, ""2"": 0.002473459579050541, ""3"": 0.04183540120720863, ""4"": 0.7650895714759827, ""5"": 0.19044585525989532}","{""1"": 0.8774693012237549, ""2"": 0.019845543429255486, ""3"": 0.006442904472351074, ""4"": 0.0889415517449379, ""5"": 0.007300767581909895}",1,13,"{""1"": 0.0001556715287733823, ""2"": 0.002473459579050541, ""3"": 0.04183540120720863, ""4"": 0.7650895714759827, ""5"": 0.19044585525989532}","{""1"": 0.8768662810325623, ""2"": 0.020186157897114754, ""3"": 0.00653948774561286, ""4"": 0.0890682190656662, ""5"": 0.007339779287576675}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 for consistency. The summary accurately conveys the main points from the article, including Paul Merson's initial criticism of Andros Townsend and his subsequent apology. The summary also correctly states that Townsend was brought on in the 83rd minute for Tottenham against Burnley.

However, the summary does not mention Merson's second criticism of Townsend after the Tottenham-Burnley match, which is mentioned in the article. This omission reduces the consistency score to 4 out of 5.",1,13,"{""1"": 1.4657204701506998e-05, ""2"": 0.0003900137380696833, ""3"": 0.016844963654875755, ""4"": 0.8639817833900452, ""5"": 0.11876855045557022}","{""1"": 0.7752158641815186, ""2"": 0.03250085934996605, ""3"": 0.012927948497235775, ""4"": 0.16249407827854156, ""5"": 0.01686122454702854}",1,13,"{""1"": 1.4657204701506998e-05, ""2"": 0.0003900137380696833, ""3"": 0.016844963654875755, ""4"": 0.8639817833900452, ""5"": 0.11876855045557022}","{""1"": 0.7752158641815186, ""2"": 0.03250085934996605, ""3"": 0.012927948497235775, ""4"": 0.16249407827854156, ""5"": 0.01686122454702854}",1,13,"{""1"": 1.4657204701506998e-05, ""2"": 0.0003900137380696833, ""3"": 0.016844963654875755, ""4"": 0.8639817833900452, ""5"": 0.11876855045557022}","{""1"": 0.7746226787567139, ""2"": 0.03286469727754593, ""3"": 0.013034057803452015, ""4"": 0.16256310045719147, ""5"": 0.016915520653128624}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 for consistency. The summary accurately conveys the main points from the article, including Paul Merson's initial criticism of Andros Townsend and his subsequent dig at Townsend after Tottenham's draw with Burnley. The summary does not contain any factual errors that are not supported by the article.

However, the summary does not mention the context of Merson's initial criticism, which was that Townsend was brought on in the 83rd minute of the game, and Merson's subsequent apology and admission of being wrong when Townsend scored for England against Italy. This lack",1,13,"{""1"": 0.00018829971668310463, ""2"": 0.004353172145783901, ""3"": 0.07136301696300507, ""4"": 0.8693795204162598, ""5"": 0.054715923964977264}","{""1"": 0.8664109110832214, ""2"": 0.020859235897660255, ""3"": 0.006719302386045456, ""4"": 0.09421782195568085, ""5"": 0.0117927435785532}",1,13,"{""1"": 0.00018829971668310463, ""2"": 0.004353172145783901, ""3"": 0.07136301696300507, ""4"": 0.8693795204162598, ""5"": 0.054715923964977264}","{""1"": 0.8664109110832214, ""2"": 0.020859235897660255, ""3"": 0.006719302386045456, ""4"": 0.09421782195568085, ""5"": 0.0117927435785532}",1,13,"{""1"": 0.00018829971668310463, ""2"": 0.004353172145783901, ""3"": 0.07136301696300507, ""4"": 0.8693795204162598, ""5"": 0.054715923964977264}","{""1"": 0.8657750487327576, ""2"": 0.02121340110898018, ""3"": 0.006823216564953327, ""4"": 0.09433668851852417, ""5"": 0.011851653456687927}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,4.666666666666667,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 for consistency. The summary accurately reports the main facts from the article, including Paul Merson's tweet and his initial criticism of Andros Townsend. However, the summary does not mention the subsequent events, such as Townsend's goal for England against Italy and Merson's apology and subsequent criticism after the Tottenham-Burnley match. The summary only focuses on the initial row between Merson and Townsend, which is not entirely accurate.",1,13,"{""1"": 0.0013273472432047129, ""2"": 0.0306860264390707, ""3"": 0.15342047810554504, ""4"": 0.79140305519104, ""5"": 0.023163028061389923}","{""1"": 0.9064698815345764, ""2"": 0.015842286869883537, ""3"": 0.0049462029710412025, ""4"": 0.0636441707611084, ""5"": 0.009097459726035595}",1,13,"{""1"": 0.0013273472432047129, ""2"": 0.0306860264390707, ""3"": 0.15342047810554504, ""4"": 0.79140305519104, ""5"": 0.023163028061389923}","{""1"": 0.9064698815345764, ""2"": 0.015842286869883537, ""3"": 0.0049462029710412025, ""4"": 0.0636441707611084, ""5"": 0.009097459726035595}",1,13,"{""1"": 0.0013273472432047129, ""2"": 0.0306860264390707, ""3"": 0.15342047810554504, ""4"": 0.79140305519104, ""5"": 0.023163028061389923}","{""1"": 0.9052338004112244, ""2"": 0.016512729227542877, ""3"": 0.005126246251165867, ""4"": 0.06391473114490509, ""5"": 0.009212489239871502}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"After reading the news article and the summary, I will rate the summary on consistency.

Consistency: 4

The summary accurately conveys the main points from the article, including Paul Merson's criticism of Andros Townsend's call-up to the England squad and Townsend's response after scoring for England against Italy. However, the summary does not mention the specific details about the game against Burnley, such as the 0-0 draw and Townsend being brought on in the 83rd minute. Additionally, the summary does not mention Merson's initial criticism of Townsend in his Sky Sports column, which is an important context for understanding the",1,21,"{""1"": 0.00018289002764504403, ""2"": 0.011674182489514351, ""3"": 0.10243768990039825, ""4"": 0.8577002882957458, ""5"": 0.028004905208945274}","{""1"": 0.9086222052574158, ""2"": 0.011527574621140957, ""3"": 0.004078296944499016, ""4"": 0.07006541639566422, ""5"": 0.005706563126295805}",1,21,"{""1"": 0.00018289002764504403, ""2"": 0.011674182489514351, ""3"": 0.10243768990039825, ""4"": 0.8577002882957458, ""5"": 0.028004905208945274}","{""1"": 0.9086222052574158, ""2"": 0.011527574621140957, ""3"": 0.004078296944499016, ""4"": 0.07006541639566422, ""5"": 0.005706563126295805}",1,21,"{""1"": 0.00018289002764504403, ""2"": 0.011674182489514351, ""3"": 0.10243768990039825, ""4"": 0.8577002882957458, ""5"": 0.028004905208945274}","{""1"": 0.9076833724975586, ""2"": 0.011947828345000744, ""3"": 0.0042297267355024815, ""4"": 0.07036145031452179, ""5"": 0.005777718964964151}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"After reading the news article and the summary, I would rate the consistency of the summary as 1 out of 5.

The summary states that Paul Merson is not happy with Andros Townsend's call-up to the England squad last week, which is not entirely accurate. The article actually states that Merson initially criticized Townsend's call-up, but later admitted his mistake and congratulated Townsend on his goal for England against Italy. The summary does not accurately reflect the timeline of events and the evolution of Merson's opinions on Townsend's call-up.",1,19,"{""1"": 0.5366365313529968, ""2"": 0.39261168241500854, ""3"": 0.050701022148132324, ""4"": 0.019243936985731125, ""5"": 0.0008068003808148205}","{""1"": 0.9418461322784424, ""2"": 0.011491319164633751, ""3"": 0.0030687779653817415, ""4"": 0.037678588181734085, ""5"": 0.005915224552154541}",1,19,"{""1"": 0.5366365313529968, ""2"": 0.39261168241500854, ""3"": 0.050701022148132324, ""4"": 0.019243936985731125, ""5"": 0.0008068003808148205}","{""1"": 0.9418461322784424, ""2"": 0.011491319164633751, ""3"": 0.0030687779653817415, ""4"": 0.037678588181734085, ""5"": 0.005915224552154541}",1,19,"{""1"": 0.5366365313529968, ""2"": 0.39261168241500854, ""3"": 0.050701022148132324, ""4"": 0.019243936985731125, ""5"": 0.0008068003808148205}","{""1"": 0.9408958554267883, ""2"": 0.011997572146356106, ""3"": 0.0032087834551930428, ""4"": 0.03790006414055824, ""5"": 0.005997695494443178}"
dm-test-8764fb95bfad8ee849274873a92fb8d6b400eee2,5.0,"Based on the evaluation criteria, I would rate the summary a 4 out of 5 for consistency. The summary accurately reports that Paul Merson had a dig at Andros Townsend after his appearance for Tottenham, and it mentions the specific tweet Merson posted on Twitter. However, the summary does not mention the context of the tweet, which is that Merson had previously criticized Townsend's inclusion in the England squad. This lack of context makes the summary slightly inconsistent with the original article.",1,13,"{""1"": 0.0006319134263321757, ""2"": 0.0070093655958771706, ""3"": 0.06445691734552383, ""4"": 0.7262338995933533, ""5"": 0.20166786015033722}","{""1"": 0.8038793206214905, ""2"": 0.024275053292512894, ""3"": 0.010278703644871712, ""4"": 0.15104445815086365, ""5"": 0.010522455908358097}",1,13,"{""1"": 0.0006319134263321757, ""2"": 0.0070093655958771706, ""3"": 0.06445691734552383, ""4"": 0.7262338995933533, ""5"": 0.20166786015033722}","{""1"": 0.8038793206214905, ""2"": 0.024275053292512894, ""3"": 0.010278703644871712, ""4"": 0.15104445815086365, ""5"": 0.010522455908358097}",1,13,"{""1"": 0.0006319134263321757, ""2"": 0.0070093655958771706, ""3"": 0.06445691734552383, ""4"": 0.7262338995933533, ""5"": 0.20166786015033722}","{""1"": 0.8032703995704651, ""2"": 0.02463063970208168, ""3"": 0.01040360052138567, ""4"": 0.15112188458442688, ""5"": 0.01057341042906046}"
